实体名称,类型,经度,纬度,出现次数,有坐标变体
榆林市,city,109.7341,38.2679,13,否
榆树,city,126.5569,44.8397,28,否
榆树市,city,126.5569,44.8397,16,是
横断山脉,mountain,100.0,28.0,19,否
武侯祠,landmark,104.0436,30.6472,17,否
武夷山,mountain|landmark,117.995,27.7658,21,是
武夷山市,city,118.0325,27.7566,2,是
武夷山脉,mountain,117.7,27.7,14,是
武夷山风景区,landmark,117.5,27.5,1,否
武威,city,102.6371,37.9283,13,否
武威市,city,102.6371,37.9283,7,否
武当山,landmark,111.0,32.4,24,否
武汉,city,114.3055,30.5928,44,是
武汉城市圈,region,114.3055,30.5928,14,否
武汉市,city,114.3055,30.5928,11,是
武汉长江大桥,landmark,114.2636,30.5786,18,是
武陵山脉,mountain,108.5,27.9,25,是
毕节,city,105.2841,27.302,37,否
毕节市,city,105.2841,27.302,10,否
永州,city,111.6132,26.4205,34,否
永州市,city,111.6132,26.4205,11,否
汉中,city,107.023,33.0674,17,是
汉中市,city,107.023,33.0674,9,是
汉江,river,112.5,31.5,22,是
汉江中游,region,112.5,31.5,1,否
汕头,city,116.682,23.354,16,是
汕头市,city,116.682,23.354,5,是
江苏省,province,118.7969,32.0603,239,是
江苏省几何中心,region,119.1137,33.5556,1,否
江西省,province,115.9099,28.6769,118,是
江阴,city,120.2858,31.9197,26,否
江阴市,city,120.28,31.92,4,是
沅江,city|river,111.4,28.4,30,是
沅江市,city,112.3744,28.8444,3,是
沈阳,city,123.4315,41.8057,58,是
沈阳市,city,123.43,41.8,14,是
沧州,city,116.8388,38.3037,46,是
沧州市,city,116.8388,38.3037,11,是
河北省,province,114.5149,38.0428,208,是
河南省,province,113.6253,34.7466,232,是
河池,city,108.0854,24.6929,48,是
河池市,city,108.0854,24.6929,8,否
泉州,city,118.6757,24.8741,41,否
泉州市,city,118.6757,24.8741,3,否
泊头,city,116.5667,38.0833,35,否
泊头市,city,116.6,38.1,5,是
泰兴,city,120.02,32.1717,39,是
泰兴市,city,120.02,32.1717,6,是
泰山,landmark,117.1011,36.2586,14,否
泸州,city,105.442,28.8719,45,是
泸州市,city,105.442,28.872,9,是
洛阳,city,112.454,34.6197,48,是
洛阳市,city,112.454,34.6197,9,否
洞庭湖,lake,112.9,29.4,19,否
洪崖洞,landmark,106.5781,29.5647,2,否
洪泽湖,lake,118.7,33.3,19,否
洮南,city,122.7878,45.3353,42,否
洮南市,city,122.7878,45.3353,13,是
洱海,lake,100.2,25.8,22,是
济南,city,117.1205,36.6512,46,是
济南市,city,117.0,36.65,6,是
浙江,province,120.1536,30.2875,1,否
浙江省,province,120.1551,30.2741,271,是
海伦,city,126.9697,47.4631,44,是
海伦市,city,126.9697,47.4631,10,是
海南省,province,110.3492,20.0174,113,是
海口,city,110.1999,20.044,53,是
海口市,city,110.1999,20.044,33,是
海城,city,122.6853,40.8814,56,是
海城市,city,122.6853,40.8814,4,否
海峡西岸,region,119.3,26.07,9,是
海林,city,129.3803,44.5633,36,否
海林市,city,129.3803,44.5633,12,否
海河,river,117.2,39.1333,19,是
海门,city,121.1817,31.8717,51,是
海门区,city,121.1817,31.8717,8,是
海门市,city,121.1817,31.8717,3,否
涿州,city,115.9806,39.4864,21,否
涿州市,city,115.98,39.49,2,是
淄博,city,118.0548,36.8131,23,是
淄博市,city,118.0548,36.8131,2,否
淮河,river,117.5,33.0,27,是
深圳,city,114.0579,22.5431,55,否
深圳市,city,114.0579,22.5431,7,否
深圳湾大桥,landmark,113.9447,22.4778,16,否
清明上河园,scenic|landmark,114.3564,34.7989,19,是
渤海,region,121.0,38.5,1,否
温州,city,120.7,28.0,50,是
温州市,city,120.6667,28.0,5,否
渭南,city,109.5099,34.5024,37,是
渭南市,city,109.5,34.5,16,是
湖北省,province,114.3055,30.5928,256,是
湖南省,province,112.9388,28.2282,206,是
湖州,city,120.0867,30.8941,55,是
湖州市,city,120.0867,30.8941,11,否
湘江,river,112.9,28.2,17,是
湘潭,city,112.9447,27.8298,42,否
湘潭市,city,112.9447,27.8298,14,是
湘西,region|city,109.7399,28.3117,49,是
湘西土家族苗族自治州,region|city,109.7399,28.3117,7,否
湘西州,region,109.7399,28.3117,1,否
溧阳,city,119.4836,31.4314,40,是
溧阳市,city,119.4836,31.4314,10,是
滇池,lake,102.7,24.8,22,是
滕王阁,landmark,115.8817,28.682,13,否
满洲里,city,117.4789,49.5978,24,是
满洲里市,city,117.4789,49.5978,6,是
滨州,city,117.9708,37.3835,41,是
滨州市,city,117.9708,37.3835,8,否
漓江,landmark|river,110.29,25.2742,19,是
漯河,city,114.0167,33.5818,35,否
漯河市,city,114.0167,33.5818,8,是
漳州,city,117.6471,24.513,47,否
漳州市,city,117.6471,24.513,17,是
潍坊,city,119.1619,36.7069,51,是
潍坊市,city,119.1619,36.7069,9,是
澜沧江,river,98.9,29.5,22,是
澧水,river,111.3,29.6,17,否
澳门特别行政区,province,113.5439,22.1987,108,是
